pair,trades,net_pnl,gross_pnl,fees,loss_damage,winner_profit,fat_tail_count,failed_start_count,profitable_then_lost_count,one_percent_then_lost_count,profit_factor,losers,failed_start_pct_of_losers,profitable_then_lost_pct_of_losers,failed_start_loss_damage,profitable_then_lost_loss_damage,one_percent_then_lost,theoretical_pnl_without_failed_starts
BTC/USDT,674,-149.15657177,65.65059660000021,214.8071683352,512.7834997,363.62692793,10,165,319,190,0.7091236908807274,484,34.09090909090909,65.9090909090909,222.77693066,290.00656904,190,73.62035889
ETH/USDT,651,-93.63737592999999,114.55438200000022,208.191757824,613.63360497,519.99622904,10,110,344,216,0.8474050717372655,454,24.229074889867842,75.77092511013215,188.18494624,425.44865873,216,94.54757031
SOL/USDT,664,-57.09453484,155.5210400000001,212.61557484,786.34676332,729.25222848,12,73,365,250,0.9273926752124659,438,16.666666666666668,83.33333333333333,171.05923016,615.28753316,250,113.96469532
XRP/USDT,624,-46.15740648,153.64634000000015,199.80374648,684.48828268,638.3308762,9,121,323,219,0.9325665498622158,444,27.25225225225225,72.74774774774775,236.58680412,447.90147856,219,190.42939764000002
BNB/USDT,587,-170.06360396,17.04621999999988,187.10982396,507.8592431,337.79563914,9,136,281,167,0.6651363418692103,417,32.61390887290168,67.38609112709833,200.49437106,307.36487204,167,30.430767099999997
DOGE/USDT,648,-49.65728444,157.80886000000015,207.46614444,778.79744788,729.14016344,10,97,355,265,0.9362385115986528,452,21.460176991150444,78.53982300884955,215.24159066,563.55585722,265,165.58430622000003
LINK/USDT,676,-130.64238516,85.65947999999997,216.30186516,851.28389264,720.64150748,11,99,366,260,0.8465348795043544,465,21.29032258064516,78.70967741935483,241.2815842,610.00230844,260,110.63919904
TRX/USDT,784,-37.225370180000006,214.04834600000004,251.273716236,414.67258183,377.44721165,13,219,324,116,0.9102294875255069,543,40.331491712707184,59.668508287292816,208.35896546,206.31361637,116,171.13359528
LTC/USDT,420,-172.0374509,-37.78358999999993,134.2538609,479.96802458,307.93057368,7,68,229,155,0.6415647666309797,297,22.895622895622896,77.10437710437711,140.73779264,339.23023194,155,-31.29965826
BCH/USDT,600,-170.6423166,20.91209999999999,191.5544166,705.5332596,534.890943,9,90,333,233,0.7581371051213871,423,21.27659574468085,78.72340425531915,201.3570996,504.17616,233,30.71478300000001
